real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
6,5.1_5.5,3.5_4.444000000000001,1.7_4.0,0.3_0.6,?
19,5.5_5.8,3.5_4.444000000000001,?,0.3_0.6,Iris-setosa
42,4.3_4.9,2.0_2.6,1.0_1.5,?,Iris-setosa
68,5.8_6.1,2.6_2.9,4.0_4.5,?,Iris-versicolor
72,6.1_6.4,2.6_2.9,?,1.3_1.5,Iris-versicolor
75,6.4_6.8,2.9_3.1,4.0_4.5,?,Iris-versicolor
79,5.8_6.1,2.9_3.1,4.5_4.8,1.5_1.7,Iris-versicolor
87,?,?,4.5_4.8,1.5_1.7,Iris-versicolor
89,?,2.9_3.1,4.0_4.5,1.3_1.5,Iris-versicolor
91,5.5_5.8,2.6_2.9,4.0_4.5,?,Iris-versicolor
92,?,2.9_3.1,4.5_4.8,1.3_1.5,Iris-versicolor
99,5.1_5.5,2.0_2.6,1.7_4.0,0.6_1.3,?
142,6.8_7.979,3.1_3.3,?,?,?
144,6.8_7.979,3.1_3.3,5.7_6.969,?,?
146,?,2.9_3.1,5.2_5.7,?,Iris-virginica
