real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
1,5.1_5.5,3.5_4.444000000000001,1.0_1.5,0.1_0.3,Iris-setosa
5,4.9_5.1,3.5_4.444000000000001,1.0_1.5,0.1_0.3,Iris-setosa
7,4.3_4.9,3.3_3.5,1.0_1.5,0.3_0.6,Iris-setosa
19,5.5_5.8,3.5_4.444000000000001,1.7_4.0,0.3_0.6,Iris-setosa
40,5.1_5.5,3.3_3.5,1.5_1.7,0.1_0.3,Iris-setosa
56,5.5_5.8,2.6_2.9,4.5_4.8,1.3_1.5,Iris-versicolor
61,4.9_5.1,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
64,6.1_6.4,2.9_3.1,4.5_4.8,1.3_1.5,Iris-versicolor
78,6.4_6.8,2.9_3.1,4.8_5.2,1.7_2.0,Iris-versicolor
98,6.1_6.4,2.9_3.1,4.0_4.5,1.3_1.5,Iris-versicolor
112,6.4_6.8,2.6_2.9,5.2_5.7,1.7_2.0,Iris-virginica
117,6.4_6.8,2.9_3.1,5.2_5.7,1.7_2.0,Iris-virginica
125,6.4_6.8,3.3_3.5,5.7_6.969,2.0_2.525,Iris-virginica
135,6.1_6.4,2.6_2.9,5.2_5.7,1.3_1.5,Iris-virginica
136,6.8_7.979,2.9_3.1,5.7_6.969,2.0_2.525,Iris-virginica
