real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
21,5.1_5.5,3.3_3.5,?,?,Iris-setosa
28,5.1_5.5,3.5_4.444000000000001,1.5_1.7,0.1_0.3,Iris-setosa
34,5.5_5.8,3.5_4.444000000000001,1.0_1.5,0.1_0.3,Iris-setosa
36,4.9_5.1,3.1_3.3,1.0_1.5,0.1_0.3,Iris-setosa
51,6.8_7.979,3.1_3.3,4.5_4.8,1.3_1.5,Iris-versicolor
68,5.8_6.1,2.6_2.9,4.0_4.5,0.6_1.3,Iris-versicolor
90,5.5_5.8,2.0_2.6,4.0_4.5,?,Iris-versicolor
97,5.5_5.8,2.9_3.1,4.0_4.5,1.3_1.5,Iris-versicolor
98,6.1_6.4,2.9_3.1,4.0_4.5,1.3_1.5,Iris-versicolor
107,4.9_5.1,2.0_2.6,4.5_4.8,1.7_2.0,?
131,6.8_7.979,2.6_2.9,5.7_6.969,1.7_2.0,Iris-virginica
138,6.4_6.8,3.1_3.3,5.2_5.7,1.7_2.0,Iris-virginica
140,6.8_7.979,3.1_3.3,5.2_5.7,2.0_2.525,Iris-virginica
149,6.1_6.4,3.3_3.5,5.2_5.7,2.0_2.525,Iris-virginica
150,5.8_6.1,2.9_3.1,4.8_5.2,1.7_2.0,Iris-virginica
