real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
13,?,?,1.0_1.5,0.1_0.3,Iris-setosa
18,5.1_5.5,3.5_4.444000000000001,1.0_1.5,0.3_0.6,Iris-setosa
32,5.1_5.5,3.3_3.5,1.5_1.7,0.3_0.6,Iris-setosa
44,?,?,1.5_1.7,?,?
74,6.1_6.4,2.6_2.9,?,?,Iris-versicolor
77,?,2.6_2.9,4.8_5.2,1.3_1.5,Iris-versicolor
107,?,2.0_2.6,?,1.7_2.0,Iris-virginica
108,6.8_7.979,2.9_3.1,5.7_6.969,?,Iris-virginica
109,6.4_6.8,2.0_2.6,5.7_6.969,1.7_2.0,Iris-virginica
111,6.4_6.8,3.1_3.3,4.8_5.2,2.0_2.525,Iris-virginica
118,6.8_7.979,3.5_4.444000000000001,?,2.0_2.525,?
131,6.8_7.979,2.6_2.9,?,1.7_2.0,Iris-virginica
136,6.8_7.979,?,5.7_6.969,2.0_2.525,Iris-virginica
137,?,3.3_3.5,5.2_5.7,2.0_2.525,Iris-virginica
138,6.4_6.8,3.1_3.3,5.2_5.7,1.7_2.0,Iris-virginica
