real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
2,4.9_5.1,2.9_3.1,1.0_1.5,0.1_0.3,Iris-setosa
8,4.9_5.1,3.3_3.5,1.5_1.7,0.1_0.3,Iris-setosa
10,4.9_5.1,3.1_3.3,1.5_1.7,0.1_0.3,Iris-setosa
13,4.3_4.9,2.9_3.1,1.0_1.5,0.1_0.3,Iris-setosa
15,5.8_6.1,3.5_4.444000000000001,1.0_1.5,0.1_0.3,Iris-setosa
19,5.5_5.8,3.5_4.444000000000001,1.7_4.0,0.3_0.6,Iris-setosa
40,5.1_5.5,3.3_3.5,1.5_1.7,0.1_0.3,?
43,4.3_4.9,3.1_3.3,1.0_1.5,0.1_0.3,Iris-setosa
69,6.1_6.4,2.0_2.6,4.5_4.8,1.5_1.7,Iris-versicolor
87,6.4_6.8,3.1_3.3,?,1.5_1.7,Iris-versicolor
105,6.4_6.8,2.9_3.1,5.7_6.969,2.0_2.525,Iris-virginica
106,6.8_7.979,2.9_3.1,5.7_6.969,2.0_2.525,Iris-virginica
111,6.4_6.8,3.1_3.3,4.8_5.2,2.0_2.525,Iris-virginica
117,6.4_6.8,2.9_3.1,5.2_5.7,1.7_2.0,Iris-virginica
118,6.8_7.979,3.5_4.444000000000001,5.7_6.969,2.0_2.525,Iris-virginica
