real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
3,4.3_4.9,3.1_3.3,1.0_1.5,0.1_0.3,Iris-setosa
12,?,3.3_3.5,1.5_1.7,0.1_0.3,Iris-setosa
14,4.3_4.9,2.9_3.1,1.0_1.5,0.1_0.3,?
41,4.9_5.1,3.5_4.444000000000001,1.0_1.5,0.3_0.6,Iris-setosa
42,4.3_4.9,2.0_2.6,1.0_1.5,0.3_0.6,Iris-setosa
67,5.5_5.8,2.9_3.1,4.5_4.8,1.5_1.7,Iris-versicolor
70,5.5_5.8,2.0_2.6,?,0.6_1.3,?
73,6.1_6.4,2.0_2.6,4.8_5.2,1.5_1.7,Iris-versicolor
105,6.4_6.8,2.9_3.1,5.7_6.969,2.0_2.525,Iris-virginica
108,6.8_7.979,?,5.7_6.969,1.7_2.0,Iris-virginica
109,?,2.0_2.6,5.7_6.969,1.7_2.0,Iris-virginica
113,6.8_7.979,2.9_3.1,?,2.0_2.525,Iris-virginica
117,6.4_6.8,2.9_3.1,5.2_5.7,1.7_2.0,?
126,6.8_7.979,3.1_3.3,5.7_6.969,1.7_2.0,Iris-virginica
128,6.1_6.4,?,4.8_5.2,1.7_2.0,Iris-virginica
