real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
9,4.3_4.9,2.9_3.1,1.0_1.5,0.1_0.3,?
15,?,?,?,?,?
20,?,3.5_4.444000000000001,?,?,Iris-setosa
40,5.1_5.5,?,?,0.1_0.3,?
47,5.1_5.5,?,1.5_1.7,0.1_0.3,Iris-setosa
50,?,?,1.0_1.5,0.1_0.3,Iris-setosa
69,6.1_6.4,?,4.5_4.8,1.5_1.7,?
80,5.5_5.8,2.6_2.9,1.7_4.0,0.6_1.3,Iris-versicolor
85,5.1_5.5,2.9_3.1,4.5_4.8,1.5_1.7,Iris-versicolor
100,5.5_5.8,?,?,1.3_1.5,Iris-versicolor
103,6.8_7.979,?,5.7_6.969,2.0_2.525,Iris-virginica
104,?,2.9_3.1,5.2_5.7,1.7_2.0,Iris-virginica
124,6.1_6.4,2.6_2.9,?,1.7_2.0,Iris-virginica
134,6.1_6.4,2.6_2.9,4.8_5.2,1.5_1.7,?
143,?,2.6_2.9,?,?,Iris-virginica
