real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
4,4.3_4.9,3.1_3.3,1.5_1.7,0.1_0.3,Iris-setosa
19,5.5_5.8,3.5_4.444000000000001,?,0.3_0.6,Iris-setosa
29,5.1_5.5,3.3_3.5,1.0_1.5,0.1_0.3,Iris-setosa
37,5.5_5.8,3.5_4.444000000000001,1.0_1.5,0.1_0.3,Iris-setosa
44,4.9_5.1,3.5_4.444000000000001,1.5_1.7,?,Iris-setosa
50,4.9_5.1,3.3_3.5,1.0_1.5,?,Iris-setosa
54,5.5_5.8,2.0_2.6,4.0_4.5,1.3_1.5,Iris-versicolor
72,6.1_6.4,2.6_2.9,4.0_4.5,1.3_1.5,Iris-versicolor
77,6.8_7.979,2.6_2.9,4.8_5.2,1.3_1.5,Iris-versicolor
79,5.8_6.1,2.9_3.1,4.5_4.8,?,Iris-versicolor
83,5.8_6.1,2.6_2.9,1.7_4.0,0.6_1.3,Iris-versicolor
99,5.1_5.5,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
112,6.4_6.8,2.6_2.9,?,1.7_2.0,Iris-virginica
124,6.1_6.4,2.6_2.9,4.8_5.2,?,Iris-virginica
147,6.1_6.4,2.0_2.6,4.8_5.2,1.7_2.0,Iris-virginica
