real,string,string
ID,sepalwidth,petalwidth
2,2.9_3.1,0.1_0.3
10,3.1_3.3,0.1_0.3
38,3.1_3.3,0.1_0.3
47,3.5_4.444000000000001,0.1_0.3
56,?,1.3_1.5
59,2.9_3.1,1.3_1.5
81,2.0_2.6,0.6_1.3
85,2.9_3.1,1.5_1.7
89,2.9_3.1,1.3_1.5
91,?,0.6_1.3
95,2.6_2.9,1.3_1.5
111,3.1_3.3,2.0_2.525
127,2.6_2.9,?
132,3.5_4.444000000000001,2.0_2.525
133,2.6_2.9,2.0_2.525
5,3.5_4.444000000000001,0.1_0.3
48,3.1_3.3,?
49,3.5_4.444000000000001,0.1_0.3
53,3.1_3.3,1.5_1.7
58,2.0_2.6,0.6_1.3
64,2.9_3.1,1.3_1.5
69,?,1.5_1.7
78,2.9_3.1,1.7_2.0
84,2.6_2.9,1.5_1.7
96,2.9_3.1,?
104,2.9_3.1,1.7_2.0
114,2.0_2.6,2.0_2.525
123,2.6_2.9,2.0_2.525
125,3.3_3.5,2.0_2.525
141,3.1_3.3,2.0_2.525
11,3.5_4.444000000000001,0.1_0.3
16,3.5_4.444000000000001,0.3_0.6
18,3.5_4.444000000000001,0.3_0.6
24,3.3_3.5,0.3_0.6
46,2.9_3.1,0.3_0.6
60,?,1.3_1.5
62,2.9_3.1,1.5_1.7
71,3.1_3.3,1.7_2.0
101,3.3_3.5,2.0_2.525
116,3.1_3.3,?
118,3.5_4.444000000000001,2.0_2.525
134,2.6_2.9,1.5_1.7
135,2.6_2.9,1.3_1.5
142,3.1_3.3,2.0_2.525
144,3.1_3.3,2.0_2.525
8,3.3_3.5,0.1_0.3
22,3.5_4.444000000000001,0.3_0.6
23,3.5_4.444000000000001,?
33,3.5_4.444000000000001,0.1_0.3
63,2.0_2.6,0.6_1.3
65,2.9_3.1,1.3_1.5
86,3.3_3.5,1.5_1.7
88,2.0_2.6,1.3_1.5
92,2.9_3.1,1.3_1.5
100,2.6_2.9,?
103,2.9_3.1,2.0_2.525
106,2.9_3.1,2.0_2.525
139,2.9_3.1,?
145,3.3_3.5,2.0_2.525
148,2.9_3.1,2.0_2.525
21,3.3_3.5,?
28,3.5_4.444000000000001,0.1_0.3
34,3.5_4.444000000000001,0.1_0.3
36,3.1_3.3,0.1_0.3
51,3.1_3.3,1.3_1.5
68,2.6_2.9,0.6_1.3
90,2.0_2.6,?
97,2.9_3.1,1.3_1.5
98,2.9_3.1,1.3_1.5
107,2.0_2.6,1.7_2.0
131,2.6_2.9,1.7_2.0
138,3.1_3.3,1.7_2.0
140,3.1_3.3,2.0_2.525
149,3.3_3.5,2.0_2.525
150,2.9_3.1,1.7_2.0
9,2.9_3.1,?
13,2.9_3.1,0.1_0.3
17,3.5_4.444000000000001,0.3_0.6
31,3.1_3.3,0.1_0.3
43,3.1_3.3,0.1_0.3
45,3.5_4.444000000000001,0.3_0.6
66,?,1.3_1.5
120,2.0_2.6,1.5_1.7
122,2.6_2.9,2.0_2.525
129,2.6_2.9,?
130,2.9_3.1,1.5_1.7
136,2.9_3.1,2.0_2.525
137,3.3_3.5,2.0_2.525
143,2.6_2.9,1.7_2.0
146,2.9_3.1,2.0_2.525
7,3.3_3.5,0.3_0.6
20,?,0.3_0.6
25,3.3_3.5,0.1_0.3
26,?,0.1_0.3
27,3.3_3.5,0.3_0.6
30,3.1_3.3,0.1_0.3
32,3.3_3.5,0.3_0.6
39,2.9_3.1,0.1_0.3
61,2.0_2.6,0.6_1.3
80,2.6_2.9,?
82,2.0_2.6,0.6_1.3
93,2.6_2.9,0.6_1.3
102,2.6_2.9,1.7_2.0
119,2.6_2.9,2.0_2.525
121,3.1_3.3,2.0_2.525
1,3.5_4.444000000000001,0.1_0.3
6,3.5_4.444000000000001,?
15,3.5_4.444000000000001,0.1_0.3
35,3.1_3.3,0.1_0.3
40,3.3_3.5,0.1_0.3
52,3.1_3.3,1.5_1.7
55,2.6_2.9,?
57,3.3_3.5,?
74,2.6_2.9,0.6_1.3
75,2.9_3.1,1.3_1.5
76,2.9_3.1,1.3_1.5
87,3.1_3.3,1.5_1.7
94,2.0_2.6,0.6_1.3
110,3.5_4.444000000000001,?
115,2.6_2.9,2.0_2.525
4,3.1_3.3,0.1_0.3
19,3.5_4.444000000000001,0.3_0.6
29,3.3_3.5,0.1_0.3
37,3.5_4.444000000000001,0.1_0.3
44,3.5_4.444000000000001,?
50,3.3_3.5,?
54,2.0_2.6,1.3_1.5
72,2.6_2.9,1.3_1.5
77,2.6_2.9,1.3_1.5
79,2.9_3.1,?
83,2.6_2.9,0.6_1.3
99,2.0_2.6,0.6_1.3
112,2.6_2.9,1.7_2.0
124,2.6_2.9,?
147,2.0_2.6,1.7_2.0
