real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
1,?,3.5_4.444000000000001,1.0_1.5,0.1_0.3,?
3,4.3_4.9,3.1_3.3,1.0_1.5,0.1_0.3,?
35,4.9_5.1,?,?,0.1_0.3,?
41,4.9_5.1,3.5_4.444000000000001,1.0_1.5,0.3_0.6,Iris-setosa
55,?,2.6_2.9,4.5_4.8,?,?
59,?,?,4.5_4.8,1.3_1.5,?
66,6.4_6.8,?,4.0_4.5,1.3_1.5,?
86,5.8_6.1,3.3_3.5,4.5_4.8,1.5_1.7,Iris-versicolor
94,4.9_5.1,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
113,6.8_7.979,2.9_3.1,5.2_5.7,?,?
125,?,?,5.7_6.969,?,Iris-virginica
139,5.8_6.1,2.9_3.1,4.8_5.2,1.7_2.0,Iris-virginica
145,?,3.3_3.5,5.7_6.969,?,?
147,6.1_6.4,2.0_2.6,?,1.7_2.0,Iris-virginica
150,5.8_6.1,2.9_3.1,?,1.7_2.0,?
