real,string,string,string
ID,sepallength,petallength,label
14,4.3_4.9,1.0_1.5,Iris-setosa
22,5.1_5.5,1.5_1.7,Iris-setosa
25,4.3_4.9,1.7_4.0,Iris-setosa
34,5.5_5.8,1.0_1.5,Iris-setosa
71,5.8_6.1,4.8_5.2,?
72,6.1_6.4,4.0_4.5,Iris-versicolor
76,6.4_6.8,4.0_4.5,Iris-versicolor
77,6.8_7.979,4.8_5.2,Iris-versicolor
81,5.5_5.8,1.7_4.0,Iris-versicolor
83,5.8_6.1,1.7_4.0,Iris-versicolor
88,6.1_6.4,4.0_4.5,Iris-versicolor
114,5.5_5.8,4.8_5.2,Iris-virginica
124,6.1_6.4,4.8_5.2,Iris-virginica
138,6.4_6.8,5.2_5.7,Iris-virginica
140,6.8_7.979,5.2_5.7,Iris-virginica
1,5.1_5.5,1.0_1.5,Iris-setosa
3,4.3_4.9,?,Iris-setosa
11,5.1_5.5,1.5_1.7,Iris-setosa
35,4.9_5.1,1.5_1.7,Iris-setosa
47,5.1_5.5,1.5_1.7,Iris-setosa
57,6.1_6.4,?,Iris-versicolor
74,?,4.5_4.8,?
100,5.5_5.8,4.0_4.5,Iris-versicolor
104,6.1_6.4,5.2_5.7,Iris-virginica
110,6.8_7.979,5.7_6.969,Iris-virginica
115,5.8_6.1,4.8_5.2,Iris-virginica
119,6.8_7.979,5.7_6.969,Iris-virginica
130,6.8_7.979,5.7_6.969,Iris-virginica
131,6.8_7.979,5.7_6.969,Iris-virginica
133,6.4_6.8,5.2_5.7,Iris-virginica
6,5.1_5.5,1.7_4.0,Iris-setosa
16,5.5_5.8,1.5_1.7,Iris-setosa
20,?,1.5_1.7,Iris-setosa
37,5.5_5.8,1.0_1.5,Iris-setosa
48,4.3_4.9,?,Iris-setosa
53,6.8_7.979,4.8_5.2,Iris-versicolor
55,6.4_6.8,4.5_4.8,Iris-versicolor
58,4.9_5.1,1.7_4.0,Iris-versicolor
61,4.9_5.1,1.7_4.0,Iris-versicolor
64,6.1_6.4,4.5_4.8,Iris-versicolor
70,5.5_5.8,1.7_4.0,Iris-versicolor
80,5.5_5.8,1.7_4.0,Iris-versicolor
84,5.8_6.1,4.8_5.2,Iris-versicolor
91,5.5_5.8,4.0_4.5,Iris-versicolor
99,5.1_5.5,1.7_4.0,Iris-versicolor
12,4.3_4.9,1.5_1.7,Iris-setosa
18,5.1_5.5,1.0_1.5,Iris-setosa
38,4.9_5.1,1.5_1.7,Iris-setosa
44,4.9_5.1,1.5_1.7,Iris-setosa
45,5.1_5.5,1.7_4.0,Iris-setosa
54,5.5_5.8,4.0_4.5,Iris-versicolor
65,?,1.7_4.0,Iris-versicolor
90,5.5_5.8,?,Iris-versicolor
107,4.9_5.1,4.5_4.8,Iris-virginica
113,6.8_7.979,5.2_5.7,Iris-virginica
121,6.8_7.979,?,Iris-virginica
125,6.4_6.8,5.7_6.969,Iris-virginica
126,6.8_7.979,5.7_6.969,Iris-virginica
137,6.1_6.4,5.2_5.7,Iris-virginica
139,5.8_6.1,4.8_5.2,Iris-virginica
21,5.1_5.5,1.7_4.0,Iris-setosa
30,4.3_4.9,1.5_1.7,Iris-setosa
50,4.9_5.1,1.0_1.5,Iris-setosa
85,5.1_5.5,4.5_4.8,Iris-versicolor
92,6.1_6.4,4.5_4.8,Iris-versicolor
97,5.5_5.8,4.0_4.5,Iris-versicolor
112,6.4_6.8,5.2_5.7,Iris-virginica
122,?,4.8_5.2,Iris-virginica
123,6.8_7.979,5.7_6.969,Iris-virginica
132,6.8_7.979,5.7_6.969,Iris-virginica
134,6.1_6.4,4.8_5.2,Iris-virginica
136,6.8_7.979,5.7_6.969,Iris-virginica
142,6.8_7.979,4.8_5.2,Iris-virginica
143,5.8_6.1,4.8_5.2,Iris-virginica
146,6.4_6.8,5.2_5.7,Iris-virginica
7,4.3_4.9,1.0_1.5,Iris-setosa
17,5.1_5.5,1.0_1.5,Iris-setosa
26,4.9_5.1,1.5_1.7,Iris-setosa
32,5.1_5.5,1.5_1.7,Iris-setosa
41,4.9_5.1,1.0_1.5,Iris-setosa
60,?,1.7_4.0,Iris-versicolor
63,5.8_6.1,4.0_4.5,Iris-versicolor
68,5.8_6.1,4.0_4.5,Iris-versicolor
73,6.1_6.4,4.8_5.2,Iris-versicolor
93,5.8_6.1,4.0_4.5,Iris-versicolor
98,6.1_6.4,4.0_4.5,Iris-versicolor
102,5.8_6.1,4.8_5.2,Iris-virginica
103,6.8_7.979,5.7_6.969,Iris-virginica
116,6.4_6.8,5.2_5.7,Iris-virginica
129,6.4_6.8,5.2_5.7,Iris-virginica
9,4.3_4.9,1.0_1.5,Iris-setosa
23,4.3_4.9,1.0_1.5,Iris-setosa
