sepallength,sepalwidth,petallength,petalwidth,label
5.1_5.5,3.5_4.444000000000001,1.7_4.0,0.3_0.6,Iris-setosa
5.5_5.8,3.5_4.444000000000001,1.5_1.7,0.3_0.6,Iris-setosa
?,3.5_4.444000000000001,1.5_1.7,0.3_0.6,Iris-setosa
5.5_5.8,3.5_4.444000000000001,1.0_1.5,0.1_0.3,Iris-setosa
4.3_4.9,3.1_3.3,?,0.1_0.3,Iris-setosa
6.8_7.979,3.1_3.3,4.8_5.2,1.5_1.7,Iris-versicolor
6.4_6.8,2.6_2.9,4.5_4.8,1.5_1.7,Iris-versicolor
4.9_5.1,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
4.9_5.1,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
6.1_6.4,?,4.5_4.8,1.3_1.5,Iris-versicolor
5.5_5.8,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
5.5_5.8,2.6_2.9,1.7_4.0,0.6_1.3,Iris-versicolor
5.8_6.1,2.6_2.9,4.8_5.2,1.5_1.7,Iris-versicolor
5.5_5.8,2.6_2.9,4.0_4.5,0.6_1.3,Iris-versicolor
5.1_5.5,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
