sepallength,sepalwidth,petallength,petalwidth,label
5.1_5.5,?,?,0.3_0.6,?
?,3.1_3.3,1.5_1.7,0.1_0.3,Iris-setosa
?,?,1.0_1.5,?,Iris-setosa
5.1_5.5,3.5_4.444000000000001,?,0.3_0.6,?
4.3_4.9,2.9_3.1,1.0_1.5,0.3_0.6,?
4.9_5.1,2.0_2.6,1.7_4.0,0.6_1.3,?
5.8_6.1,?,?,0.6_1.3,Iris-versicolor
?,?,1.7_4.0,1.3_1.5,Iris-versicolor
5.5_5.8,2.9_3.1,4.5_4.8,1.5_1.7,Iris-versicolor
?,2.0_2.6,?,1.3_1.5,Iris-versicolor
?,?,4.0_4.5,1.3_1.5,Iris-versicolor
6.4_6.8,2.9_3.1,?,2.0_2.525,Iris-virginica
6.4_6.8,2.9_3.1,5.2_5.7,?,Iris-virginica
6.4_6.8,?,?,2.0_2.525,?
6.8_7.979,?,5.7_6.969,?,?
