sepallength,sepalwidth,petallength,petalwidth,label
4.9_5.1,2.9_3.1,1.0_1.5,?,Iris-setosa
?,?,1.5_1.7,0.1_0.3,Iris-setosa
5.1_5.5,3.5_4.444000000000001,1.5_1.7,?,Iris-setosa
?,3.3_3.5,1.7_4.0,?,Iris-setosa
4.9_5.1,3.1_3.3,?,?,Iris-setosa
5.1_5.5,3.5_4.444000000000001,?,?,Iris-setosa
6.8_7.979,3.1_3.3,?,?,Iris-versicolor
5.5_5.8,?,4.0_4.5,1.3_1.5,?
6.1_6.4,3.3_3.5,?,1.5_1.7,Iris-versicolor
?,2.6_2.9,?,?,Iris-versicolor
4.9_5.1,2.0_2.6,1.7_4.0,?,Iris-versicolor
5.5_5.8,2.0_2.6,?,0.6_1.3,Iris-versicolor
6.4_6.8,2.9_3.1,4.0_4.5,1.3_1.5,?
5.5_5.8,?,1.7_4.0,0.6_1.3,Iris-versicolor
5.5_5.8,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
