real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
2,4.9_5.1,2.9_3.1,1.0_1.5,0.1_0.3,Iris-setosa
10,4.9_5.1,3.1_3.3,1.5_1.7,0.1_0.3,Iris-setosa
38,4.9_5.1,3.1_3.3,1.5_1.7,0.1_0.3,Iris-setosa
47,5.1_5.5,3.5_4.444000000000001,1.5_1.7,0.1_0.3,?
56,5.5_5.8,?,4.5_4.8,1.3_1.5,Iris-versicolor
59,6.4_6.8,2.9_3.1,4.5_4.8,1.3_1.5,Iris-versicolor
81,5.5_5.8,2.0_2.6,?,0.6_1.3,Iris-versicolor
85,5.1_5.5,2.9_3.1,4.5_4.8,1.5_1.7,Iris-versicolor
89,5.5_5.8,2.9_3.1,4.0_4.5,1.3_1.5,Iris-versicolor
91,5.5_5.8,?,4.0_4.5,0.6_1.3,Iris-versicolor
95,5.5_5.8,2.6_2.9,4.0_4.5,1.3_1.5,Iris-versicolor
111,6.4_6.8,3.1_3.3,?,2.0_2.525,Iris-virginica
127,6.1_6.4,2.6_2.9,4.8_5.2,?,?
132,?,3.5_4.444000000000001,5.7_6.969,2.0_2.525,Iris-virginica
133,6.4_6.8,2.6_2.9,?,2.0_2.525,Iris-virginica
