real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
7,?,3.3_3.5,1.0_1.5,0.3_0.6,Iris-setosa
14,4.3_4.9,2.9_3.1,1.0_1.5,0.1_0.3,?
24,?,3.3_3.5,1.7_4.0,0.3_0.6,?
29,5.1_5.5,3.3_3.5,1.0_1.5,0.1_0.3,?
30,4.3_4.9,?,1.5_1.7,0.1_0.3,Iris-setosa
39,4.3_4.9,2.9_3.1,?,?,Iris-setosa
78,6.4_6.8,?,4.8_5.2,1.7_2.0,Iris-versicolor
96,5.5_5.8,?,4.0_4.5,0.6_1.3,Iris-versicolor
97,5.5_5.8,2.9_3.1,4.0_4.5,1.3_1.5,?
101,6.1_6.4,3.3_3.5,?,2.0_2.525,?
112,6.4_6.8,?,5.2_5.7,?,?
116,?,3.1_3.3,?,?,?
120,?,?,4.8_5.2,1.5_1.7,Iris-virginica
122,5.5_5.8,2.6_2.9,4.8_5.2,2.0_2.525,?
130,6.8_7.979,2.9_3.1,5.7_6.969,1.5_1.7,Iris-virginica
