real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
7,4.3_4.9,3.3_3.5,1.0_1.5,0.3_0.6,Iris-setosa
20,5.1_5.5,?,1.5_1.7,0.3_0.6,Iris-setosa
25,4.3_4.9,3.3_3.5,1.7_4.0,0.1_0.3,Iris-setosa
26,4.9_5.1,?,1.5_1.7,0.1_0.3,Iris-setosa
27,4.9_5.1,3.3_3.5,1.5_1.7,0.3_0.6,?
30,4.3_4.9,3.1_3.3,1.5_1.7,0.1_0.3,Iris-setosa
32,5.1_5.5,3.3_3.5,?,0.3_0.6,Iris-setosa
39,4.3_4.9,2.9_3.1,1.0_1.5,0.1_0.3,Iris-setosa
61,4.9_5.1,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
80,5.5_5.8,2.6_2.9,1.7_4.0,?,Iris-versicolor
82,5.5_5.8,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
93,5.8_6.1,2.6_2.9,4.0_4.5,0.6_1.3,Iris-versicolor
102,5.8_6.1,2.6_2.9,4.8_5.2,1.7_2.0,Iris-virginica
119,6.8_7.979,2.6_2.9,5.7_6.969,2.0_2.525,Iris-virginica
121,?,3.1_3.3,?,2.0_2.525,Iris-virginica
