real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
5,4.9_5.1,?,?,0.1_0.3,?
8,4.9_5.1,?,?,0.1_0.3,Iris-setosa
16,?,?,1.5_1.7,0.3_0.6,Iris-setosa
25,?,3.3_3.5,?,0.1_0.3,Iris-setosa
27,4.9_5.1,3.3_3.5,?,0.3_0.6,Iris-setosa
43,?,3.1_3.3,1.0_1.5,?,?
62,5.8_6.1,?,4.0_4.5,1.5_1.7,?
73,?,2.0_2.6,4.8_5.2,1.5_1.7,?
90,5.5_5.8,2.0_2.6,4.0_4.5,1.3_1.5,Iris-versicolor
102,5.8_6.1,?,?,?,?
135,6.1_6.4,?,5.2_5.7,1.3_1.5,?
140,?,3.1_3.3,5.2_5.7,2.0_2.525,?
141,6.4_6.8,3.1_3.3,?,2.0_2.525,?
148,6.4_6.8,?,5.2_5.7,?,Iris-virginica
149,?,3.3_3.5,?,2.0_2.525,?
