real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
11,5.1_5.5,3.5_4.444000000000001,1.5_1.7,0.1_0.3,Iris-setosa
16,5.5_5.8,3.5_4.444000000000001,1.5_1.7,0.3_0.6,Iris-setosa
18,5.1_5.5,3.5_4.444000000000001,1.0_1.5,0.3_0.6,Iris-setosa
24,5.1_5.5,3.3_3.5,1.7_4.0,0.3_0.6,Iris-setosa
46,4.3_4.9,2.9_3.1,1.0_1.5,0.3_0.6,Iris-setosa
60,5.1_5.5,?,1.7_4.0,1.3_1.5,Iris-versicolor
62,5.8_6.1,2.9_3.1,4.0_4.5,1.5_1.7,Iris-versicolor
71,5.8_6.1,3.1_3.3,4.8_5.2,1.7_2.0,?
101,6.1_6.4,3.3_3.5,5.7_6.969,2.0_2.525,Iris-virginica
116,6.4_6.8,3.1_3.3,5.2_5.7,?,Iris-virginica
118,?,3.5_4.444000000000001,5.7_6.969,2.0_2.525,?
134,6.1_6.4,2.6_2.9,4.8_5.2,1.5_1.7,Iris-virginica
135,6.1_6.4,2.6_2.9,5.2_5.7,1.3_1.5,Iris-virginica
142,6.8_7.979,3.1_3.3,4.8_5.2,2.0_2.525,?
144,6.8_7.979,3.1_3.3,5.7_6.969,2.0_2.525,Iris-virginica
