real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
22,5.1_5.5,?,?,0.3_0.6,?
31,?,3.1_3.3,1.5_1.7,0.1_0.3,Iris-setosa
37,?,?,1.0_1.5,?,Iris-setosa
45,5.1_5.5,3.5_4.444000000000001,?,0.3_0.6,?
46,4.3_4.9,2.9_3.1,1.0_1.5,0.3_0.6,?
58,4.9_5.1,2.0_2.6,1.7_4.0,0.6_1.3,?
63,5.8_6.1,?,?,0.6_1.3,Iris-versicolor
65,?,?,1.7_4.0,1.3_1.5,Iris-versicolor
67,5.5_5.8,2.9_3.1,4.5_4.8,1.5_1.7,Iris-versicolor
88,?,2.0_2.6,?,1.3_1.5,Iris-versicolor
98,?,?,4.0_4.5,1.3_1.5,Iris-versicolor
105,6.4_6.8,2.9_3.1,?,2.0_2.525,Iris-virginica
117,6.4_6.8,2.9_3.1,5.2_5.7,?,Iris-virginica
129,6.4_6.8,?,?,2.0_2.525,?
132,6.8_7.979,?,5.7_6.969,?,?
