real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
13,4.3_4.9,2.9_3.1,1.0_1.5,0.1_0.3,Iris-setosa
15,5.8_6.1,3.5_4.444000000000001,1.0_1.5,0.1_0.3,Iris-setosa
36,4.9_5.1,3.1_3.3,1.0_1.5,0.1_0.3,Iris-setosa
79,5.8_6.1,2.9_3.1,4.5_4.8,1.5_1.7,Iris-versicolor
91,5.5_5.8,2.6_2.9,4.0_4.5,0.6_1.3,Iris-versicolor
93,5.8_6.1,2.6_2.9,4.0_4.5,0.6_1.3,Iris-versicolor
94,4.9_5.1,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
103,6.8_7.979,2.9_3.1,5.7_6.969,2.0_2.525,Iris-virginica
109,6.4_6.8,2.0_2.6,5.7_6.969,1.7_2.0,Iris-virginica
111,6.4_6.8,3.1_3.3,4.8_5.2,2.0_2.525,Iris-virginica
114,5.5_5.8,2.0_2.6,4.8_5.2,2.0_2.525,Iris-virginica
129,6.4_6.8,2.6_2.9,5.2_5.7,2.0_2.525,Iris-virginica
132,6.8_7.979,3.5_4.444000000000001,5.7_6.969,2.0_2.525,Iris-virginica
137,6.1_6.4,3.3_3.5,5.2_5.7,2.0_2.525,Iris-virginica
140,6.8_7.979,3.1_3.3,5.2_5.7,2.0_2.525,Iris-virginica
