real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
1,5.1_5.5,3.5_4.444000000000001,?,0.1_0.3,Iris-setosa
6,5.1_5.5,3.5_4.444000000000001,1.7_4.0,?,Iris-setosa
15,5.8_6.1,3.5_4.444000000000001,?,0.1_0.3,?
35,4.9_5.1,3.1_3.3,?,0.1_0.3,Iris-setosa
40,5.1_5.5,3.3_3.5,1.5_1.7,0.1_0.3,Iris-setosa
52,6.4_6.8,3.1_3.3,4.5_4.8,1.5_1.7,Iris-versicolor
55,6.4_6.8,2.6_2.9,4.5_4.8,?,Iris-versicolor
57,6.1_6.4,3.3_3.5,4.5_4.8,?,?
74,6.1_6.4,2.6_2.9,4.5_4.8,0.6_1.3,Iris-versicolor
75,6.4_6.8,2.9_3.1,4.0_4.5,1.3_1.5,Iris-versicolor
76,6.4_6.8,2.9_3.1,4.0_4.5,1.3_1.5,?
87,6.4_6.8,3.1_3.3,4.5_4.8,1.5_1.7,Iris-versicolor
94,?,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
110,6.8_7.979,3.5_4.444000000000001,5.7_6.969,?,Iris-virginica
115,?,2.6_2.9,4.8_5.2,2.0_2.525,Iris-virginica
