real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
8,4.9_5.1,3.3_3.5,1.5_1.7,0.1_0.3,Iris-setosa
22,?,3.5_4.444000000000001,1.5_1.7,0.3_0.6,Iris-setosa
23,4.3_4.9,3.5_4.444000000000001,1.0_1.5,?,Iris-setosa
33,5.1_5.5,3.5_4.444000000000001,?,0.1_0.3,Iris-setosa
63,5.8_6.1,2.0_2.6,4.0_4.5,0.6_1.3,Iris-versicolor
65,5.5_5.8,2.9_3.1,1.7_4.0,1.3_1.5,Iris-versicolor
86,5.8_6.1,3.3_3.5,4.5_4.8,1.5_1.7,Iris-versicolor
88,6.1_6.4,2.0_2.6,4.0_4.5,1.3_1.5,Iris-versicolor
92,6.1_6.4,2.9_3.1,4.5_4.8,1.3_1.5,Iris-versicolor
100,5.5_5.8,2.6_2.9,?,?,Iris-versicolor
103,6.8_7.979,2.9_3.1,5.7_6.969,2.0_2.525,Iris-virginica
106,6.8_7.979,2.9_3.1,5.7_6.969,2.0_2.525,Iris-virginica
139,5.8_6.1,2.9_3.1,4.8_5.2,?,Iris-virginica
145,6.4_6.8,3.3_3.5,5.7_6.969,2.0_2.525,Iris-virginica
148,6.4_6.8,2.9_3.1,5.2_5.7,2.0_2.525,Iris-virginica
