real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
6,5.1_5.5,3.5_4.444000000000001,1.7_4.0,0.3_0.6,Iris-setosa
16,5.5_5.8,3.5_4.444000000000001,1.5_1.7,0.3_0.6,Iris-setosa
20,?,3.5_4.444000000000001,1.5_1.7,0.3_0.6,Iris-setosa
37,5.5_5.8,3.5_4.444000000000001,1.0_1.5,0.1_0.3,Iris-setosa
48,4.3_4.9,3.1_3.3,?,0.1_0.3,Iris-setosa
53,6.8_7.979,3.1_3.3,4.8_5.2,1.5_1.7,Iris-versicolor
55,6.4_6.8,2.6_2.9,4.5_4.8,1.5_1.7,Iris-versicolor
58,4.9_5.1,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
61,4.9_5.1,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
64,6.1_6.4,?,4.5_4.8,1.3_1.5,Iris-versicolor
70,5.5_5.8,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
80,5.5_5.8,2.6_2.9,1.7_4.0,0.6_1.3,Iris-versicolor
84,5.8_6.1,2.6_2.9,4.8_5.2,1.5_1.7,Iris-versicolor
91,5.5_5.8,2.6_2.9,4.0_4.5,0.6_1.3,Iris-versicolor
99,5.1_5.5,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
