real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
9,4.3_4.9,2.9_3.1,1.0_1.5,0.1_0.3,Iris-setosa
23,4.3_4.9,3.5_4.444000000000001,1.0_1.5,0.1_0.3,Iris-setosa
27,4.9_5.1,3.3_3.5,1.5_1.7,0.3_0.6,Iris-setosa
29,5.1_5.5,3.3_3.5,1.0_1.5,0.1_0.3,Iris-setosa
31,4.3_4.9,?,1.5_1.7,0.1_0.3,Iris-setosa
39,4.3_4.9,2.9_3.1,1.0_1.5,0.1_0.3,Iris-setosa
49,?,3.5_4.444000000000001,1.5_1.7,0.1_0.3,Iris-setosa
59,?,2.9_3.1,4.5_4.8,1.3_1.5,?
66,6.4_6.8,3.1_3.3,4.0_4.5,1.3_1.5,?
67,5.5_5.8,2.9_3.1,4.5_4.8,1.5_1.7,Iris-versicolor
89,5.5_5.8,2.9_3.1,4.0_4.5,1.3_1.5,Iris-versicolor
95,5.5_5.8,2.6_2.9,4.0_4.5,1.3_1.5,Iris-versicolor
101,?,3.3_3.5,5.7_6.969,2.0_2.525,Iris-virginica
127,6.1_6.4,2.6_2.9,4.8_5.2,1.7_2.0,Iris-virginica
128,6.1_6.4,2.9_3.1,4.8_5.2,1.7_2.0,Iris-virginica
