real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
4,4.3_4.9,3.1_3.3,1.5_1.7,0.1_0.3,Iris-setosa
26,4.9_5.1,2.9_3.1,1.5_1.7,0.1_0.3,Iris-setosa
34,5.5_5.8,3.5_4.444000000000001,1.0_1.5,0.1_0.3,Iris-setosa
35,4.9_5.1,3.1_3.3,1.5_1.7,0.1_0.3,Iris-setosa
42,4.3_4.9,2.0_2.6,1.0_1.5,0.3_0.6,Iris-setosa
44,4.9_5.1,3.5_4.444000000000001,1.5_1.7,0.6_1.3,Iris-setosa
46,4.3_4.9,2.9_3.1,1.0_1.5,0.3_0.6,Iris-setosa
55,6.4_6.8,2.6_2.9,4.5_4.8,1.5_1.7,Iris-versicolor
57,6.1_6.4,3.3_3.5,4.5_4.8,1.5_1.7,Iris-versicolor
73,6.1_6.4,2.0_2.6,4.8_5.2,1.5_1.7,Iris-versicolor
75,6.4_6.8,2.9_3.1,4.0_4.5,1.3_1.5,Iris-versicolor
97,5.5_5.8,2.9_3.1,4.0_4.5,1.3_1.5,Iris-versicolor
104,6.1_6.4,2.9_3.1,5.2_5.7,1.7_2.0,Iris-virginica
123,6.8_7.979,2.6_2.9,5.7_6.969,2.0_2.525,Iris-virginica
130,6.8_7.979,2.9_3.1,5.7_6.969,1.5_1.7,Iris-virginica
