real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
9,4.3_4.9,2.9_3.1,1.0_1.5,0.1_0.3,Iris-setosa
11,5.1_5.5,3.5_4.444000000000001,1.5_1.7,0.1_0.3,Iris-setosa
18,5.1_5.5,3.5_4.444000000000001,1.0_1.5,0.3_0.6,Iris-setosa
29,5.1_5.5,3.3_3.5,1.0_1.5,0.1_0.3,Iris-setosa
31,4.3_4.9,3.1_3.3,1.5_1.7,0.1_0.3,Iris-setosa
45,5.1_5.5,3.5_4.444000000000001,1.7_4.0,0.3_0.6,Iris-setosa
47,5.1_5.5,3.5_4.444000000000001,1.5_1.7,0.1_0.3,Iris-setosa
54,5.5_5.8,2.0_2.6,4.0_4.5,1.3_1.5,Iris-versicolor
58,4.9_5.1,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
62,5.8_6.1,2.9_3.1,4.0_4.5,1.5_1.7,Iris-versicolor
65,5.5_5.8,2.9_3.1,1.7_4.0,1.3_1.5,Iris-versicolor
95,5.5_5.8,2.6_2.9,4.0_4.5,1.3_1.5,Iris-versicolor
99,5.1_5.5,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
102,5.8_6.1,2.6_2.9,4.8_5.2,1.7_2.0,Iris-virginica
127,6.1_6.4,2.6_2.9,4.8_5.2,1.7_2.0,Iris-virginica
