real,string,string,string,string,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
14,4.3_4.9,2.9_3.1,1.0_1.5,0.1_0.3,Iris-setosa
28,5.1_5.5,3.5_4.444000000000001,1.5_1.7,0.1_0.3,Iris-setosa
70,5.5_5.8,2.0_2.6,1.7_4.0,0.6_1.3,Iris-versicolor
80,5.5_5.8,2.6_2.9,1.7_4.0,0.6_1.3,Iris-versicolor
83,5.8_6.1,2.6_2.9,1.7_4.0,0.6_1.3,Iris-versicolor
84,5.8_6.1,2.6_2.9,4.8_5.2,1.5_1.7,Iris-versicolor
87,6.4_6.8,3.1_3.3,4.5_4.8,1.5_1.7,Iris-versicolor
89,5.5_5.8,2.9_3.1,4.0_4.5,1.3_1.5,Iris-versicolor
92,6.1_6.4,2.9_3.1,4.5_4.8,1.3_1.5,Iris-versicolor
96,5.5_5.8,2.9_3.1,4.0_4.5,0.6_1.3,Iris-versicolor
108,6.8_7.979,2.9_3.1,5.7_6.969,1.7_2.0,Iris-virginica
116,6.4_6.8,3.1_3.3,5.2_5.7,2.0_2.525,Iris-virginica
120,5.8_6.1,2.0_2.6,4.8_5.2,1.5_1.7,Iris-virginica
128,6.1_6.4,2.9_3.1,4.8_5.2,1.7_2.0,Iris-virginica
139,5.8_6.1,2.9_3.1,4.8_5.2,1.7_2.0,Iris-virginica
