string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
ID,CVP,HYPOVOLEMIA,LVFAILURE,ERRLOWOUTPUT,HREKG,HRSAT,ANAPHYLAXIS,EXPCO2,MINVOL,PVSAT,PAP,SHUNT,PRESS,MINVOLSET,VENTTUBE,VENTALV,CATECHOL,CO
36,HIGH,TRUE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,?,NORMAL,NORMAL,NORMAL,LOW,ZERO,HIGH,LOW
38,NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,?,LOW,ZERO,HIGH,LOW
64,HIGH,TRUE,FALSE,FALSE,HIGH,HIGH,FALSE,HIGH,LOW,LOW,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,HIGH,HIGH
66,NORMAL,?,FALSE,FALSE,LOW,LOW,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,ZERO,HIGH,NORMAL,?
69,NORMAL,FALSE,?,FALSE,?,NORMAL,FALSE,LOW,ZERO,?,?,NORMAL,NORMAL,NORMAL,LOW,LOW,HIGH,LOW
70,NORMAL,TRUE,FALSE,TRUE,HIGH,HIGH,FALSE,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,?,LOW,HIGH,HIGH,NORMAL
72,LOW,FALSE,?,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,?
76,NORMAL,FALSE,?,FALSE,HIGH,HIGH,FALSE,LOW,?,LOW,HIGH,NORMAL,HIGH,NORMAL,?,ZERO,HIGH,HIGH
93,LOW,FALSE,TRUE,FALSE,NORMAL,NORMAL,FALSE,LOW,HIGH,HIGH,?,NORMAL,LOW,NORMAL,ZERO,HIGH,HIGH,LOW
100,NORMAL,FALSE,FALSE,FALSE,HIGH,?,?,LOW,HIGH,?,NORMAL,?,HIGH,NORMAL,ZERO,HIGH,HIGH,HIGH
103,NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,HIGH
105,NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,?,NORMAL,?,LOW,ZERO,HIGH,HIGH
120,NORMAL,FALSE,FALSE,TRUE,HIGH,HIGH,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,ZERO,HIGH,?,HIGH
138,NORMAL,FALSE,FALSE,FALSE,?,HIGH,?,LOW,?,LOW,HIGH,?,ZERO,?,LOW,ZERO,HIGH,HIGH
143,NORMAL,?,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
147,HIGH,FALSE,FALSE,?,LOW,LOW,FALSE,LOW,ZERO,LOW,?,NORMAL,LOW,NORMAL,LOW,ZERO,NORMAL,NORMAL
149,NORMAL,?,FALSE,FALSE,HIGH,HIGH,FALSE,ZERO,ZERO,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH
158,NORMAL,?,FALSE,?,LOW,LOW,FALSE,?,ZERO,?,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,?,NORMAL
159,NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,HIGH,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
162,NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,NORMAL,LOW,NORMAL,NORMAL,HIGH,?,LOW,ZERO,?,HIGH
167,NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,?,LOW,ZERO,?,LOW,NORMAL,LOW,?,LOW,ZERO,HIGH,HIGH
168,HIGH,?,FALSE,FALSE,HIGH,HIGH,?,LOW,HIGH,HIGH,NORMAL,?,HIGH,NORMAL,?,HIGH,HIGH,?
173,HIGH,TRUE,FALSE,?,HIGH,HIGH,FALSE,LOW,ZERO,LOW,HIGH,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,?
177,HIGH,TRUE,FALSE,FALSE,HIGH,HIGH,?,LOW,?,LOW,?,NORMAL,NORMAL,NORMAL,LOW,?,HIGH,HIGH
187,NORMAL,FALSE,?,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,?,?,LOW,NORMAL,LOW,ZERO,HIGH,?
190,NORMAL,FALSE,FALSE,FALSE,LOW,HIGH,FALSE,LOW,ZERO,?,LOW,HIGH,?,NORMAL,LOW,?,HIGH,HIGH
195,?,FALSE,FALSE,FALSE,NORMAL,NORMAL,FALSE,?,ZERO,LOW,NORMAL,HIGH,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH
213,?,FALSE,TRUE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,HIGH
224,NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH
241,?,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,LOW,?,NORMAL,NORMAL,HIGH,NORMAL,?,LOW,HIGH,HIGH
