string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
ID,CVP,HYPOVOLEMIA,LVFAILURE,ERRLOWOUTPUT,HREKG,HRSAT,ANAPHYLAXIS,EXPCO2,MINVOL,PVSAT,PAP,SHUNT,PRESS,MINVOLSET,VENTTUBE,VENTALV,CATECHOL,CO
20,NORMAL,FALSE,?,?,HIGH,HIGH,FALSE,?,?,HIGH,?,NORMAL,NORMAL,?,LOW,HIGH,?,?
26,NORMAL,?,FALSE,?,NORMAL,?,FALSE,LOW,?,LOW,NORMAL,NORMAL,HIGH,NORMAL,?,?,HIGH,HIGH
41,NORMAL,?,?,FALSE,LOW,LOW,?,LOW,?,HIGH,?,NORMAL,HIGH,NORMAL,ZERO,?,?,NORMAL
48,NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,?,NORMAL,LOW,NORMAL,LOW,?,?,HIGH
49,NORMAL,?,FALSE,FALSE,?,?,FALSE,LOW,ZERO,LOW,?,?,LOW,NORMAL,LOW,ZERO,HIGH,?
55,NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,?,NORMAL,HIGH,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,HIGH
64,HIGH,TRUE,FALSE,?,?,HIGH,FALSE,HIGH,LOW,LOW,?,?,?,HIGH,NORMAL,LOW,HIGH,HIGH
75,NORMAL,FALSE,FALSE,?,LOW,LOW,?,LOW,HIGH,?,NORMAL,NORMAL,HIGH,?,ZERO,HIGH,?,NORMAL
77,LOW,FALSE,?,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,?,?,NORMAL,?,?,?,?
81,?,?,FALSE,?,HIGH,HIGH,FALSE,NORMAL,ZERO,?,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
82,NORMAL,FALSE,?,?,?,HIGH,FALSE,LOW,?,HIGH,NORMAL,NORMAL,HIGH,HIGH,ZERO,HIGH,HIGH,HIGH
88,HIGH,FALSE,FALSE,?,LOW,LOW,?,?,?,HIGH,?,NORMAL,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL
92,NORMAL,FALSE,FALSE,FALSE,?,?,?,LOW,ZERO,LOW,?,?,HIGH,NORMAL,?,?,HIGH,HIGH
106,?,TRUE,FALSE,?,HIGH,?,FALSE,LOW,?,LOW,LOW,NORMAL,HIGH,NORMAL,LOW,?,?,LOW
110,NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,?,LOW,NORMAL,?,HIGH,NORMAL,LOW,?,HIGH,?
118,NORMAL,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,?,NORMAL,?,NORMAL,LOW,ZERO,HIGH,HIGH
129,HIGH,?,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,?,?,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,HIGH,LOW
136,NORMAL,TRUE,FALSE,FALSE,HIGH,HIGH,TRUE,LOW,ZERO,LOW,NORMAL,?,?,NORMAL,LOW,ZERO,?,LOW
154,?,?,FALSE,?,HIGH,?,FALSE,NORMAL,ZERO,LOW,?,?,HIGH,NORMAL,LOW,ZERO,?,?
161,NORMAL,FALSE,FALSE,?,?,?,FALSE,?,NORMAL,?,LOW,HIGH,LOW,NORMAL,NORMAL,?,HIGH,HIGH
170,NORMAL,TRUE,?,FALSE,?,?,FALSE,LOW,ZERO,?,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,NORMAL
187,NORMAL,FALSE,?,FALSE,?,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,?,?,?,LOW,ZERO,HIGH,?
196,NORMAL,?,FALSE,?,HIGH,HIGH,FALSE,LOW,ZERO,?,NORMAL,NORMAL,NORMAL,?,LOW,ZERO,HIGH,?
209,?,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,?,LOW,NORMAL,?,HIGH,?,LOW,ZERO,HIGH,HIGH
219,NORMAL,FALSE,?,FALSE,NORMAL,NORMAL,FALSE,LOW,ZERO,LOW,?,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
225,NORMAL,FALSE,FALSE,FALSE,LOW,HIGH,?,ZERO,?,LOW,NORMAL,HIGH,LOW,NORMAL,ZERO,NORMAL,?,LOW
233,NORMAL,?,?,FALSE,?,HIGH,FALSE,?,HIGH,?,NORMAL,HIGH,LOW,?,?,?,HIGH,HIGH
248,NORMAL,FALSE,?,FALSE,?,HIGH,FALSE,?,ZERO,?,NORMAL,?,?,NORMAL,?,ZERO,HIGH,HIGH
260,LOW,FALSE,TRUE,FALSE,?,LOW,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH
271,NORMAL,?,FALSE,FALSE,HIGH,HIGH,FALSE,HIGH,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,?,HIGH,?
286,?,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,?,ZERO,LOW,NORMAL,NORMAL,?,NORMAL,LOW,?,HIGH,LOW
312,NORMAL,?,?,FALSE,?,?,FALSE,LOW,?,LOW,NORMAL,NORMAL,?,?,LOW,ZERO,?,HIGH
321,NORMAL,?,?,FALSE,LOW,LOW,?,NORMAL,ZERO,LOW,?,NORMAL,HIGH,NORMAL,LOW,?,HIGH,NORMAL
339,?,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,?,?,LOW,NORMAL,?,NORMAL,NORMAL,LOW,?,HIGH,?
343,NORMAL,FALSE,FALSE,?,HIGH,?,FALSE,?,?,LOW,NORMAL,?,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH
356,HIGH,FALSE,FALSE,FALSE,HIGH,HIGH,FALSE,LOW,ZERO,LOW,NORMAL,NORMAL,HIGH,?,ZERO,?,?,HIGH
395,NORMAL,FALSE,FALSE,?,?,HIGH,FALSE,LOW,ZERO,?,?,HIGH,?,NORMAL,LOW,?,HIGH,?
402,?,FALSE,?,FALSE,HIGH,HIGH,FALSE,LOW,?,LOW,NORMAL,?,?,NORMAL,ZERO,?,HIGH,HIGH
433,NORMAL,FALSE,FALSE,FALSE,LOW,LOW,FALSE,?,HIGH,HIGH,NORMAL,NORMAL,?,NORMAL,?,HIGH,NORMAL,HIGH
450,NORMAL,?,FALSE,?,HIGH,?,FALSE,?,ZERO,?,HIGH,?,HIGH,?,LOW,ZERO,?,?
467,NORMAL,FALSE,FALSE,?,HIGH,HIGH,?,?,?,LOW,?,?,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH
