number,number,number,number,string
petalwidth,sepallength,sepalwidth,petallength,label
0.3,5.0,3.0,1.2,Iris-setosa
2.3,6.3,2.9,6.3,Iris-virginica
1.4,5.7,3.0,3.9,Iris-versicolor
0.4,4.4,3.1,1.7,Iris-setosa
2.1,6.8,2.8,5.1,Iris-virginica
0.2,5.4,3.9,1.5,Iris-setosa
0.2,5.3,3.8,1.6,Iris-setosa
0.5,4.7,3.9,1.6,Iris-setosa
0.2,4.7,4.0,5.9,Iris-setosa
2.5,6.3,2.8,4.8,Iris-virginica
0.2,5.5,3.3,1.3,Iris-setosa
1.6,7.3,2.5,5.6,Iris-virginica
1.3,5.6,3.1,4.5,Iris-versicolor
1.8,7.3,3.2,5.1,Iris-virginica
0.4,5.5,2.8,4.3,Iris-versicolor
0.1,5.0,3.4,1.7,Iris-setosa
1.8,6.3,2.6,5.0,Iris-virginica
0.2,5.3,3.5,1.5,Iris-setosa
0.4,4.9,3.9,1.3,Iris-setosa
1.2,5.5,3.3,4.7,Iris-versicolor
2.3,7.7,3.2,6.1,Iris-virginica
1.9,6.4,2.7,6.1,Iris-virginica
1.2,5.6,2.9,4.9,Iris-versicolor
2.0,5.8,3.0,5.4,Iris-virginica
2.1,5.7,2.8,5.6,Iris-virginica
1.0,6.6,2.3,4.7,Iris-versicolor
0.2,5.8,3.1,1.6,Iris-setosa
2.5,6.8,3.4,6.9,Iris-virginica
1.8,6.4,3.6,5.8,Iris-virginica
0.5,5.4,3.4,1.5,Iris-setosa
2.4,7.7,2.8,6.3,Iris-virginica
0.3,5.2,3.2,1.4,Iris-setosa
0.1,5.1,3.6,1.5,Iris-setosa
2.5,7.7,2.8,6.0,Iris-virginica
1.8,7.7,3.2,5.1,Iris-virginica
0.2,4.6,3.0,1.6,Iris-setosa
2.3,6.7,3.8,6.1,Iris-virginica
1.8,5.7,2.9,4.9,Iris-virginica
0.2,5.8,3.4,1.4,Iris-setosa
2.5,7.2,2.8,5.2,Iris-virginica
1.3,5.6,3.1,4.0,Iris-versicolor
1.3,7.0,2.0,3.3,Iris-versicolor
2.1,7.7,3.0,6.0,Iris-virginica
0.4,4.6,3.0,1.3,Iris-setosa
1.3,6.4,2.2,4.4,Iris-versicolor
1.3,6.1,3.0,4.5,Iris-versicolor
0.2,4.4,3.2,1.0,Iris-setosa
1.8,6.5,2.8,6.9,Iris-virginica
2.2,6.7,2.7,5.4,Iris-virginica
0.2,4.6,3.4,1.5,Iris-setosa
1.8,6.7,3.2,6.7,Iris-virginica
2.4,7.1,3.1,5.7,Iris-virginica
2.5,6.0,2.5,5.0,Iris-virginica
0.3,5.6,3.4,1.5,Iris-setosa
1.3,4.9,3.2,4.0,Iris-versicolor
2.3,7.7,3.2,5.5,Iris-virginica
0.2,4.6,3.8,1.7,Iris-setosa
1.8,6.4,2.8,5.1,Iris-virginica
0.1,4.9,3.7,1.2,Iris-setosa
1.6,5.6,2.9,6.0,Iris-virginica
1.3,5.8,2.2,4.7,Iris-versicolor
2.0,6.8,3.4,5.4,Iris-virginica
2.5,6.5,2.5,5.1,Iris-virginica
0.2,4.8,3.9,1.7,Iris-setosa
0.2,4.8,3.4,1.2,Iris-setosa
1.8,6.5,3.4,4.5,Iris-virginica
1.8,6.4,3.1,4.9,Iris-virginica
0.2,5.4,3.1,1.7,Iris-setosa
0.2,5.2,3.4,1.5,Iris-setosa
2.3,6.7,3.0,5.6,Iris-virginica
1.3,5.7,2.0,3.7,Iris-versicolor
1.8,6.4,3.6,4.8,Iris-virginica
2.3,6.3,2.8,5.7,Iris-virginica
1.4,5.4,2.4,4.5,Iris-versicolor
0.2,5.4,3.9,1.5,Iris-setosa
0.2,5.1,3.4,1.5,Iris-setosa
1.3,6.7,3.2,4.5,Iris-versicolor
1.6,5.7,3.0,4.3,Iris-versicolor
1.5,5.5,3.0,5.1,Iris-versicolor
1.8,6.9,3.3,5.2,Iris-virginica
1.5,6.6,3.0,4.1,Iris-versicolor
1.3,5.7,3.3,4.4,Iris-versicolor
0.1,4.6,3.0,1.5,Iris-setosa
0.2,5.7,3.9,1.0,Iris-setosa
0.1,4.3,3.2,1.5,Iris-setosa
0.2,5.1,3.6,1.3,Iris-setosa
1.5,5.5,3.0,3.5,Iris-versicolor
2.0,6.3,3.0,1.7,Iris-virginica
1.8,6.1,3.6,6.7,Iris-virginica
1.8,6.0,3.6,5.1,Iris-virginica
0.3,4.5,4.4,1.3,Iris-setosa
1.8,6.4,2.8,5.6,Iris-virginica
0.5,4.7,3.8,1.5,Iris-setosa
