real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
23,4.6,3.6,1.0,0.2,Iris-setosa
31,4.8,3.1,1.6,0.2,Iris-setosa
71,5.9,3.2,4.8,1.8,Iris-versicolor
73,6.3,2.5,4.9,1.5,Iris-versicolor
90,5.5,2.5,4.0,1.3,Iris-versicolor
97,5.7,2.9,4.2,1.3,Iris-versicolor
98,6.2,2.9,4.3,1.3,Iris-versicolor
118,7.7,3.8,6.7,2.2,Iris-virginica
121,6.9,3.2,5.7,2.3,Iris-virginica
128,6.1,3.0,4.9,1.8,Iris-virginica
129,6.4,2.8,5.6,2.1,Iris-virginica
131,7.4,2.8,6.1,1.9,Iris-virginica
137,6.3,3.4,5.6,2.4,Iris-virginica
138,6.4,3.1,5.5,1.8,Iris-virginica
140,6.9,3.1,5.4,2.1,Iris-virginica
