real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
7,4.6,3.4,1.4,0.3,Iris-setosa
17,5.4,3.9,1.3,0.4,Iris-setosa
32,5.4,3.4,?,0.4,Iris-setosa
47,5.1,?,1.6,0.2,Iris-setosa
54,5.5,2.3,4.0,1.3,Iris-versicolor
55,6.5,2.8,4.6,1.5,Iris-versicolor
58,4.9,2.4,3.3,1.0,Iris-versicolor
59,6.6,2.9,4.6,1.3,Iris-versicolor
65,5.6,2.9,3.6,1.3,Iris-versicolor
83,5.8,?,3.9,1.2,Iris-versicolor
90,5.5,2.5,4.0,1.3,Iris-versicolor
95,5.6,?,4.2,?,Iris-versicolor
96,5.7,3.0,4.2,1.2,Iris-versicolor
98,6.2,2.9,4.3,1.3,Iris-versicolor
108,7.3,2.9,6.3,1.8,Iris-virginica
