@Relation genericBIFF
@Attribute sepallength real
@Attribute sepalwidth real
@Attribute petallength real
@Attribute petalwidth real
@Attribute label {Iris-versicolor,Iris-virginica,Iris-setosa}

@DATA
5.4,3.7,1.5,0.2,Iris-setosa
4.8,3.1,1.6,0.2,Iris-setosa
5.2,4.1,1.5,?,Iris-setosa
5.6,2.5,3.9,1.1,Iris-versicolor
6.0,2.7,5.1,1.6,Iris-versicolor
5.4,3.0,4.5,1.5,Iris-versicolor
6.2,2.9,4.3,1.3,Iris-versicolor
6.3,3.3,6.0,2.5,Iris-virginica
7.1,?,5.9,2.1,Iris-virginica
7.6,3.0,6.6,2.1,?
7.7,3.8,6.7,2.2,Iris-virginica
6.3,3.4,5.6,2.4,Iris-virginica
6.4,3.1,?,1.8,Iris-virginica
5.8,2.7,5.1,1.9,Iris-virginica
6.8,3.2,5.9,2.3,Iris-virginica
