@Relation genericBIFF
@Attribute sepallength real
@Attribute sepalwidth real
@Attribute petallength real
@Attribute petalwidth real
@Attribute label {Iris-versicolor,Iris-virginica,Iris-setosa}

@DATA
5.1,3.5,1.4,0.2,Iris-setosa
4.6,3.1,1.5,0.2,Iris-setosa
5.1,3.7,1.5,0.4,Iris-setosa
4.8,3.4,1.9,0.2,Iris-setosa
5.0,3.4,1.6,0.4,Iris-setosa
5.0,?,1.3,0.3,Iris-setosa
6.4,3.2,4.5,1.5,Iris-versicolor
6.3,3.3,4.7,1.6,Iris-versicolor
5.2,2.7,3.9,1.4,Iris-versicolor
6.0,?,4.5,1.5,Iris-versicolor
5.5,2.6,4.4,1.2,Iris-versicolor
6.1,?,4.6,1.4,Iris-versicolor
5.8,2.6,4.0,1.2,Iris-versicolor
7.2,3.6,6.1,2.5,Iris-virginica
7.4,2.8,6.1,1.9,Iris-virginica
