sepallength,sepalwidth,petallength,petalwidth,label
5.1,3.5,1.4,0.3,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
5.5,3.5,1.3,0.2,Iris-setosa
6.4,3.2,4.5,1.5,Iris-versicolor
6.1,2.9,4.7,1.4,Iris-versicolor
5.6,?,4.5,1.5,Iris-versicolor
5.5,2.4,3.8,1.1,Iris-versicolor
7.1,3.0,5.9,2.1,Iris-virginica
6.4,2.7,5.3,1.9,Iris-virginica
7.7,3.0,6.1,2.3,Iris-virginica
6.9,3.1,5.4,2.1,Iris-virginica
5.8,2.7,5.1,1.9,Iris-virginica
6.8,3.2,?,2.3,Iris-virginica
6.7,3.3,5.7,2.5,Iris-virginica
6.3,2.5,5.0,1.9,Iris-virginica
