real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
18,5.1,3.5,1.4,0.3,Iris-setosa
35,4.9,3.1,1.5,0.1,Iris-setosa
37,5.5,3.5,1.3,0.2,Iris-setosa
52,6.4,3.2,4.5,1.5,Iris-versicolor
64,6.1,2.9,4.7,1.4,Iris-versicolor
67,5.6,?,4.5,1.5,Iris-versicolor
81,5.5,2.4,3.8,1.1,Iris-versicolor
103,7.1,3.0,5.9,2.1,Iris-virginica
112,6.4,2.7,5.3,1.9,Iris-virginica
136,7.7,3.0,6.1,2.3,Iris-virginica
140,6.9,3.1,5.4,2.1,Iris-virginica
143,5.8,2.7,5.1,1.9,Iris-virginica
144,6.8,3.2,?,2.3,Iris-virginica
145,6.7,3.3,5.7,2.5,Iris-virginica
147,6.3,2.5,5.0,1.9,Iris-virginica
