real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
25,4.8,3.4,1.9,0.2,Iris-setosa
32,5.4,3.4,1.5,0.4,?
60,5.2,2.7,?,?,Iris-versicolor
64,6.1,2.9,4.7,1.4,Iris-versicolor
69,6.2,?,?,1.5,?
76,6.6,?,4.4,1.4,Iris-versicolor
81,5.5,2.4,?,1.1,Iris-versicolor
88,6.3,?,4.4,1.3,Iris-versicolor
89,?,?,4.1,1.3,Iris-versicolor
102,?,2.7,?,1.9,?
112,?,2.7,5.3,1.9,Iris-virginica
129,6.4,2.8,5.6,?,?
134,?,2.8,5.1,1.5,Iris-virginica
135,6.1,?,?,?,Iris-virginica
136,7.7,3.0,6.1,2.3,Iris-virginica
