real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
5,?,?,1.4,?,Iris-setosa
13,?,3.0,1.4,0.1,Iris-setosa
14,4.3,3.0,1.1,?,Iris-setosa
27,5.0,3.4,1.6,0.4,Iris-setosa
35,4.9,3.1,?,0.1,Iris-setosa
43,4.4,3.2,1.3,0.2,Iris-setosa
53,6.9,?,4.9,1.5,?
57,6.3,?,?,1.6,?
61,5.0,2.0,?,1.0,?
71,5.9,3.2,4.8,?,Iris-versicolor
78,6.7,3.0,5.0,1.7,Iris-versicolor
124,6.3,?,?,?,Iris-virginica
138,6.4,?,5.5,1.8,Iris-virginica
142,6.9,3.1,5.1,2.3,Iris-virginica
147,6.3,2.5,5.0,?,Iris-virginica
