real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
7,4.6,3.4,1.4,0.3,Iris-setosa
9,?,2.9,1.4,0.2,Iris-setosa
29,5.2,3.4,1.4,0.2,Iris-setosa
45,5.1,3.8,1.9,0.4,Iris-setosa
62,5.9,3.0,4.2,1.5,Iris-versicolor
63,6.0,2.2,4.0,1.0,Iris-versicolor
89,5.6,3.0,4.1,1.3,Iris-versicolor
107,4.9,2.5,4.5,1.7,Iris-virginica
114,5.7,2.5,5.0,2.0,Iris-virginica
115,5.8,2.8,5.1,2.4,Iris-virginica
116,6.4,3.2,5.3,2.3,Iris-virginica
127,6.2,2.8,4.8,1.8,Iris-virginica
128,6.1,3.0,4.9,1.8,Iris-virginica
140,6.9,3.1,5.4,2.1,Iris-virginica
148,6.5,3.0,5.2,2.0,Iris-virginica
