real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
27,5.0,3.4,1.6,0.4,Iris-setosa
39,4.4,3.0,1.3,0.2,Iris-setosa
42,4.5,2.3,1.3,0.3,Iris-setosa
53,6.9,?,4.9,1.5,Iris-versicolor
88,6.3,2.3,4.4,1.3,Iris-versicolor
97,5.7,2.9,4.2,1.3,Iris-versicolor
109,6.7,2.5,5.8,1.8,Iris-virginica
111,6.5,3.2,5.1,2.0,Iris-virginica
119,7.7,2.6,6.9,2.3,Iris-virginica
131,7.4,2.8,6.1,1.9,Iris-virginica
135,6.1,2.6,5.6,1.4,Iris-virginica
141,6.7,3.1,5.6,2.4,Iris-virginica
148,6.5,3.0,5.2,2.0,Iris-virginica
149,6.2,3.4,5.4,2.3,Iris-virginica
150,5.9,3.0,5.1,1.8,Iris-virginica
