sepallength,sepalwidth,petallength,petalwidth,label
4.9,3.0,1.4,0.2,Iris-setosa
?3.5,1.3,0.3,Iris-setosa
5.0,3.5,?,0.6,Iris-setosa
5.1,3.8,1.6,0.2,Iris-setosa
5.9,3.0,4.2,1.5,Iris-versicolor
5.9,3.2,4.8,1.8,Iris-versicolor
6.0,3.4,4.5,?,Iris-versicolor
5.0,2.3,3.3,1.0,Iris-versicolor
5.6,2.7,4.2,1.3,Iris-versicolor
7.3,2.9,6.3,?,Iris-virginica
6.9,3.2,5.7,2.3,Iris-virginica
7.2,3.0,5.8,1.6,Iris-virginica
6.4,3.1,5.5,1.8,Iris-virginica
6.9,3.1,5.1,2.3,Iris-virginica
6.7,3.0,5.2,2.3,Iris-virginica
