real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
8,?,3.4,1.5,0.2,Iris-setosa
17,5.4,3.9,1.3,?,Iris-setosa
20,5.1,3.8,1.5,0.3,Iris-setosa
28,5.2,3.5,1.5,0.2,Iris-setosa
34,5.5,4.2,1.4,0.2,Iris-setosa
37,5.5,?,1.3,?,Iris-setosa
40,5.1,3.4,1.5,0.2,Iris-setosa
55,6.5,2.8,4.6,1.5,Iris-versicolor
56,?,2.8,4.5,1.3,Iris-versicolor
66,6.7,3.1,4.4,1.4,Iris-versicolor
67,5.6,3.0,4.5,1.5,Iris-versicolor
68,5.8,2.7,4.1,1.0,Iris-versicolor
74,6.1,2.8,4.7,1.2,Iris-versicolor
77,6.8,2.8,4.8,1.4,Iris-versicolor
81,5.5,2.4,3.8,1.1,Iris-versicolor
