real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
38,4.9,3.1,1.5,0.1,Iris-setosa
39,4.4,?,1.3,0.2,Iris-setosa
42,4.5,?,1.3,0.3,Iris-setosa
46,4.8,3.0,1.4,0.3,Iris-setosa
53,6.9,3.1,4.9,1.5,Iris-versicolor
80,5.7,2.6,3.5,1.0,Iris-versicolor
82,5.5,2.4,3.7,1.0,Iris-versicolor
88,6.3,2.3,4.4,1.3,Iris-versicolor
97,5.7,2.9,4.2,1.3,Iris-versicolor
102,5.8,2.7,5.1,1.9,Iris-virginica
123,7.7,2.8,6.7,2.0,Iris-virginica
129,6.4,2.8,5.6,2.1,Iris-virginica
133,6.4,2.8,5.6,2.2,Iris-virginica
134,6.3,2.8,5.1,1.5,Iris-virginica
136,7.7,3.0,6.1,2.3,Iris-virginica
