real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
2,4.9,3.0,1.4,0.2,Iris-setosa
33,5.2,4.1,1.5,?,Iris-setosa
35,4.9,3.1,?,0.1,Iris-setosa
68,5.8,2.7,4.1,1.0,Iris-versicolor
73,6.3,2.5,4.9,1.5,Iris-versicolor
96,?,3.0,4.2,1.2,Iris-versicolor
97,5.7,2.9,4.2,?,Iris-versicolor
121,6.9,?,5.7,?,Iris-virginica
122,5.6,2.8,4.9,2.0,?
125,6.7,3.3,5.7,2.1,Iris-virginica
133,6.4,2.8,?,2.2,?
136,7.7,3.0,6.1,2.3,Iris-virginica
137,6.3,?,5.6,2.4,Iris-virginica
149,6.2,3.4,5.4,2.3,Iris-virginica
150,5.9,3.0,5.1,1.8,Iris-virginica
