sepallength,sepalwidth,petallength,petalwidth,label
5.7,4.4,1.5,0.4,Iris-setosa
5.4,3.9,1.3,0.4,Iris-setosa
4.6,3.6,1.0,0.2,Iris-setosa
5.1,3.3,1.7,0.5,Iris-setosa
5.0,3.0,1.6,0.2,Iris-setosa
5.4,3.4,1.5,0.4,Iris-setosa
7.0,3.2,4.7,1.4,Iris-versicolor
6.9,3.1,4.9,1.5,Iris-versicolor
6.5,2.8,4.6,1.5,Iris-versicolor
6.6,2.9,4.6,1.3,Iris-versicolor
5.2,2.7,3.9,1.4,Iris-versicolor
5.0,2.0,3.5,1.0,Iris-versicolor
6.0,2.2,4.0,1.0,Iris-versicolor
6.1,2.8,4.7,1.2,Iris-versicolor
5.8,2.6,4.0,1.2,Iris-versicolor
