@Relation genericBIFF
@Attribute sepallength real
@Attribute sepalwidth real
@Attribute petallength real
@Attribute petalwidth real
@Attribute label {Iris-versicolor,Iris-virginica,Iris-setosa}

@DATA
5.0,3.4,1.5,0.2,Iris-setosa
4.8,3.4,1.6,0.2,Iris-setosa
4.3,3.0,1.1,0.1,Iris-setosa
5.4,3.9,1.3,0.4,Iris-setosa
5.0,3.4,1.6,0.4,Iris-setosa
5.0,3.5,1.6,0.6,Iris-setosa
4.8,3.0,1.4,0.3,Iris-setosa
5.1,3.8,1.6,0.2,Iris-setosa
5.3,3.7,1.5,0.2,Iris-setosa
6.4,3.2,4.5,1.5,Iris-versicolor
5.8,2.7,4.1,1.0,Iris-versicolor
5.6,2.5,3.9,1.1,Iris-versicolor
6.1,2.8,4.0,1.3,Iris-versicolor
5.8,2.6,4.0,1.2,Iris-versicolor
5.0,2.3,3.3,1.0,Iris-versicolor
