real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
26,5.0,3.0,1.6,0.2,Iris-setosa
35,4.9,3.1,1.5,0.1,Iris-setosa
48,4.6,3.2,1.4,0.2,Iris-setosa
100,5.7,2.8,4.1,1.3,Iris-versicolor
111,6.5,3.2,5.1,2.0,Iris-virginica
132,7.9,3.8,6.4,2.0,Iris-virginica
135,6.1,2.6,5.6,1.4,Iris-virginica
139,6.0,3.0,4.8,1.8,Iris-virginica
141,6.7,3.1,5.6,2.4,Iris-virginica
142,6.9,3.1,5.1,2.3,Iris-virginica
145,6.7,3.3,5.7,2.5,Iris-virginica
146,6.7,?,5.2,2.3,Iris-virginica
147,6.3,2.5,5.0,1.9,Iris-virginica
149,6.2,3.4,5.4,2.3,Iris-virginica
150,5.9,3.0,5.1,1.8,Iris-virginica
