real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
5,5.0,3.6,1.4,0.2,?
20,5.1,3.8,1.5,0.3,Iris-setosa
22,5.1,3.7,1.5,0.4,Iris-setosa
30,4.7,3.2,1.6,0.2,Iris-setosa
31,4.8,3.1,1.6,0.2,Iris-setosa
40,5.1,3.4,1.5,0.2,Iris-setosa
45,5.1,?,1.9,0.4,Iris-setosa
50,5.0,3.3,1.4,0.2,Iris-setosa
53,6.9,3.1,4.9,1.5,Iris-versicolor
85,5.4,3.0,4.5,1.5,Iris-versicolor
91,5.5,2.6,4.4,1.2,Iris-versicolor
102,5.8,?,?,1.9,Iris-virginica
120,6.0,2.2,5.0,1.5,Iris-virginica
123,7.7,2.8,6.7,2.0,Iris-virginica
128,6.1,3.0,4.9,1.8,Iris-virginica
