real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
5,5.0,3.6,1.4,0.2,Iris-setosa
10,4.9,3.1,1.5,0.1,Iris-setosa
12,4.8,?,1.6,0.2,Iris-setosa
16,5.7,4.4,1.5,0.4,Iris-setosa
21,5.4,3.4,1.7,0.2,Iris-setosa
32,5.4,3.4,1.5,0.4,?
43,?,3.2,1.3,0.2,Iris-setosa
58,4.9,2.4,?,1.0,Iris-versicolor
65,?,2.9,3.6,1.3,Iris-versicolor
69,6.2,2.2,4.5,1.5,Iris-versicolor
71,?,3.2,4.8,1.8,Iris-versicolor
73,6.3,2.5,4.9,1.5,Iris-versicolor
75,6.4,2.9,4.3,1.3,Iris-versicolor
90,5.5,2.5,4.0,1.3,Iris-versicolor
99,5.1,2.5,3.0,1.1,Iris-versicolor
