real,real,real
ID,sepalwidth,petalwidth
17,?,?
29,3.4,0.2
39,3.0,0.2
42,2.3,0.3
73,2.5,?
86,3.4,1.6
97,?,1.3
106,3.0,2.1
113,3.0,?
128,?,?
131,?,?
139,3.0,?
141,?,2.4
144,?,2.3
150,3.0,1.8
20,3.8,0.3
38,?,0.1
46,3.0,0.3
54,2.3,1.3
58,2.4,?
72,?,1.3
75,2.9,1.3
95,2.7,?
105,3.0,2.2
107,2.5,1.7
108,?,?
110,?,2.5
116,3.2,2.3
117,3.0,1.8
132,3.8,2.0
25,3.4,0.2
32,3.4,0.4
60,2.7,?
64,2.9,1.4
69,?,1.5
76,?,1.4
81,2.4,1.1
88,?,1.3
89,?,1.3
102,2.7,1.9
112,2.7,1.9
129,2.8,?
134,2.8,1.5
135,?,?
136,3.0,2.3
6,?,0.4
22,3.7,0.4
47,3.8,?
49,3.7,0.2
50,3.3,0.2
59,2.9,1.3
77,?,1.4
82,2.4,1.0
84,2.7,?
92,?,1.4
100,2.8,1.3
111,3.2,2.0
114,2.5,?
123,2.8,?
130,3.0,?
2,3.0,0.2
4,3.1,0.2
8,3.4,?
15,4.0,0.2
21,3.4,0.2
33,4.1,?
37,3.5,0.2
51,3.2,1.4
55,?,1.5
67,?,?
79,2.9,1.5
115,2.8,?
120,2.2,?
140,3.1,2.1
143,2.7,1.9
1,3.5,?
11,?,0.2
19,3.8,0.3
24,3.3,0.5
45,3.8,0.4
63,2.2,1.0
87,3.1,?
91,2.6,1.2
98,2.9,?
104,?,1.8
118,3.8,?
121,3.2,2.3
122,2.8,?
125,3.3,2.1
126,3.2,1.8
16,?,0.4
23,3.6,0.2
26,?,?
28,3.5,0.2
30,3.2,0.2
36,3.2,?
41,3.5,0.3
70,2.5,1.1
74,2.8,?
80,2.6,1.0
94,?,1.0
96,3.0,1.2
109,?,1.8
127,2.8,1.8
133,?,2.2
7,3.4,0.3
9,?,?
18,3.5,0.3
31,3.1,0.2
40,?,0.2
48,3.2,0.2
52,3.2,1.5
56,2.8,?
62,3.0,1.5
65,?,?
83,?,1.2
85,?,?
90,2.5,?
93,2.6,1.2
101,?,2.5
3,3.2,0.2
10,?,?
12,3.4,0.2
34,4.2,0.2
44,3.5,0.6
66,3.1,1.4
68,2.7,?
99,?,1.1
103,3.0,2.1
119,2.6,2.3
137,3.4,?
145,3.3,2.5
146,?,?
148,3.0,2.0
149,3.4,2.3
