real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
11,5.4,3.7,1.5,0.2,Iris-setosa
13,4.8,3.0,1.4,0.1,Iris-setosa
24,5.1,3.3,1.7,0.5,Iris-setosa
36,5.0,3.2,1.2,?,Iris-setosa
38,4.9,?,1.5,0.1,Iris-setosa
59,6.6,2.9,4.6,1.3,Iris-versicolor
83,5.8,2.7,3.9,1.2,?
88,6.3,2.3,?,?,Iris-versicolor
99,5.1,2.5,3.0,1.1,Iris-versicolor
103,7.1,3.0,5.9,2.1,Iris-virginica
104,6.3,2.9,5.6,1.8,Iris-virginica
117,6.5,3.0,5.5,1.8,Iris-virginica
119,7.7,?,6.9,2.3,Iris-virginica
129,6.4,2.8,5.6,2.1,Iris-virginica
134,6.3,2.8,5.1,1.5,Iris-virginica
