real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
2,4.9,3.0,?,0.2,Iris-setosa
4,4.6,3.1,?,0.2,Iris-setosa
8,5.0,3.4,1.5,?,Iris-setosa
15,5.8,4.0,1.2,0.2,Iris-setosa
21,5.4,3.4,1.7,0.2,Iris-setosa
33,5.2,4.1,?,?,Iris-setosa
37,5.5,3.5,1.3,0.2,Iris-setosa
51,?,3.2,4.7,1.4,?
55,6.5,?,4.6,1.5,Iris-versicolor
67,5.6,?,4.5,?,?
79,6.0,2.9,4.5,1.5,Iris-versicolor
115,5.8,2.8,5.1,?,?
120,?,2.2,5.0,?,?
140,6.9,3.1,?,2.1,Iris-virginica
143,5.8,2.7,5.1,1.9,Iris-virginica
