sepallength,sepalwidth,petallength,petalwidth,label
5.0,3.0,1.6,0.2,Iris-setosa
5.4,3.4,1.5,0.4,Iris-setosa
5.0,3.3,1.4,0.2,Iris-setosa
5.0,2.0,3.5,1.0,Iris-versicolor
6.0,2.2,4.0,1.0,Iris-versicolor
5.8,2.7,4.1,?,Iris-versicolor
6.1,2.8,4.0,1.3,Iris-versicolor
6.7,3.0,5.0,1.7,Iris-versicolor
5.8,2.7,3.9,1.2,Iris-versicolor
5.5,2.6,4.4,1.2,Iris-versicolor
6.2,2.9,4.3,1.3,Iris-versicolor
6.8,3.0,5.5,2.1,Iris-virginica
6.7,3.3,5.7,2.1,Iris-virginica
7.9,3.8,6.4,2.0,Iris-virginica
?3.4,5.6,2.4,Iris-virginica
