real,real,real
ID,sepalwidth,petalwidth
10,3.1,0.1
15,4.0,0.2
19,3.8,0.3
32,3.4,0.4
34,4.2,0.2
40,3.4,0.2
46,3.0,0.3
65,2.9,1.3
75,2.9,1.3
81,2.4,1.1
85,3.0,1.5
100,2.8,1.3
130,3.0,1.6
135,2.6,1.4
147,2.5,1.9
45,3.8,?
48,3.2,0.2
57,3.3,1.6
60,2.7,?
61,2.0,1.0
64,2.9,?
67,3.0,1.5
69,2.2,?
86,?,1.6
92,3.0,1.4
111,3.2,2.0
139,?,?
143,2.7,1.9
146,3.0,?
148,3.0,2.0
11,3.7,0.2
13,3.0,0.1
24,3.3,0.5
36,3.2,?
38,?,0.1
59,2.9,1.3
83,2.7,1.2
88,2.3,?
99,2.5,1.1
103,3.0,2.1
104,2.9,1.8
117,3.0,1.8
119,?,2.3
129,2.8,2.1
134,2.8,1.5
3,3.2,?
5,3.6,?
12,3.4,0.2
18,?,0.3
28,3.5,0.2
41,3.5,0.3
52,3.2,1.5
58,2.4,1.0
79,2.9,?
98,2.9,1.3
110,3.6,2.5
112,2.7,1.9
116,3.2,?
126,3.2,1.8
140,3.1,2.1
7,3.4,0.3
8,3.4,0.2
14,3.0,0.1
22,3.7,0.4
23,3.6,0.2
47,3.8,0.2
51,3.2,1.4
53,3.1,1.5
72,2.8,?
82,2.4,1.0
90,?,1.3
93,2.6,1.2
94,2.3,1.0
95,2.7,1.3
102,2.7,1.9
4,3.1,?
9,2.9,0.2
20,3.8,0.3
49,3.7,0.2
56,2.8,1.3
84,2.7,1.6
87,3.1,1.5
91,2.6,1.2
105,3.0,2.2
109,2.5,?
127,2.8,1.8
128,3.0,1.8
132,3.8,2.0
142,3.1,2.3
145,3.3,2.5
1,3.5,0.2
21,3.4,0.2
25,3.4,0.2
44,3.5,0.6
50,3.3,0.2
54,2.3,1.3
62,3.0,1.5
63,2.2,1.0
66,3.1,1.4
70,2.5,1.1
71,3.2,?
77,2.8,1.4
78,?,?
101,3.3,2.5
107,?,1.7
2,3.0,0.2
33,4.1,?
35,3.1,0.1
68,2.7,1.0
73,2.5,1.5
96,3.0,1.2
97,2.9,?
121,?,?
122,2.8,2.0
125,3.3,2.1
133,2.8,2.2
136,3.0,2.3
137,?,2.4
149,3.4,2.3
150,3.0,1.8
16,4.4,?
26,3.0,0.2
29,3.4,0.2
30,3.2,0.2
31,3.1,0.2
37,3.5,?
42,2.3,0.3
55,2.8,?
76,3.0,1.4
80,2.6,1.0
89,3.0,1.3
108,2.9,1.8
120,2.2,1.5
123,2.8,2.0
131,2.8,1.9
