real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
4,4.6,3.1,1.5,0.2,Iris-setosa
11,5.4,3.7,1.5,0.2,Iris-setosa
18,5.1,3.5,1.4,0.3,Iris-setosa
21,5.4,3.4,1.7,0.2,Iris-setosa
35,4.9,3.1,1.5,0.1,Iris-setosa
37,5.5,3.5,1.3,0.2,Iris-setosa
38,4.9,3.1,1.5,0.1,Iris-setosa
64,6.1,2.9,4.7,1.4,Iris-versicolor
76,6.6,3.0,4.4,1.4,Iris-versicolor
119,7.7,2.6,6.9,2.3,Iris-virginica
130,7.2,3.0,5.8,1.6,Iris-virginica
131,7.4,2.8,6.1,1.9,Iris-virginica
136,7.7,3.0,6.1,2.3,Iris-virginica
144,6.8,3.2,5.9,2.3,Iris-virginica
146,6.7,3.0,5.2,2.3,Iris-virginica
