real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
4,4.6,3.1,1.5,?,Iris-setosa
9,4.4,2.9,1.4,0.2,Iris-setosa
20,5.1,3.8,?,0.3,Iris-setosa
49,5.3,3.7,1.5,0.2,Iris-setosa
56,5.7,2.8,4.5,1.3,?
84,6.0,2.7,5.1,1.6,Iris-versicolor
87,6.7,3.1,4.7,1.5,Iris-versicolor
91,5.5,2.6,4.4,1.2,Iris-versicolor
105,6.5,3.0,5.8,2.2,Iris-virginica
109,6.7,2.5,5.8,?,Iris-virginica
127,6.2,2.8,?,1.8,Iris-virginica
128,6.1,3.0,4.9,1.8,Iris-virginica
132,?,3.8,?,2.0,Iris-virginica
142,6.9,3.1,5.1,2.3,Iris-virginica
145,?,3.3,5.7,2.5,Iris-virginica
