sepallength,sepalwidth,petallength,petalwidth,label
5.0,3.4,1.5,0.2,Iris-setosa
4.8,3.0,1.4,0.1,Iris-setosa
5.0,3.2,1.2,0.2,Iris-setosa
5.7,2.8,4.5,1.3,Iris-versicolor
5.8,2.7,4.1,1.0,Iris-versicolor
5.6,2.5,3.9,1.1,Iris-versicolor
6.0,2.9,4.5,1.5,Iris-versicolor
5.7,2.6,3.5,1.0,Iris-versicolor
5.6,3.0,4.1,1.3,Iris-versicolor
7.2,3.6,6.1,2.5,Iris-virginica
6.8,3.0,5.5,2.1,Iris-virginica
6.5,3.0,5.5,1.8,Iris-virginica
5.6,2.8,4.9,2.0,Iris-virginica
7.2,3.2,6.0,1.8,Iris-virginica
6.4,2.8,5.6,2.1,Iris-virginica
