@Relation genericBIFF
@Attribute sepallength real
@Attribute sepalwidth real
@Attribute petallength real
@Attribute petalwidth real
@Attribute label {Iris-versicolor,Iris-virginica,Iris-setosa}

@DATA
4.9,3.1,1.5,0.1,Iris-setosa
4.4,?,1.3,0.2,Iris-setosa
4.5,?,1.3,0.3,Iris-setosa
4.8,3.0,1.4,0.3,Iris-setosa
6.9,3.1,4.9,1.5,Iris-versicolor
5.7,2.6,3.5,1.0,Iris-versicolor
5.5,2.4,3.7,1.0,Iris-versicolor
6.3,2.3,4.4,1.3,Iris-versicolor
5.7,2.9,4.2,1.3,Iris-versicolor
5.8,2.7,5.1,1.9,Iris-virginica
7.7,2.8,6.7,2.0,Iris-virginica
6.4,2.8,5.6,2.1,Iris-virginica
6.4,2.8,5.6,2.2,Iris-virginica
6.3,2.8,5.1,1.5,Iris-virginica
7.7,3.0,6.1,2.3,Iris-virginica
