real,real,real,real,real,string
ID,sepallength,sepalwidth,petallength,petalwidth,label
20,5.1,3.8,?,0.3,Iris-setosa
38,4.9,?,1.5,0.1,?
46,4.8,3.0,1.4,0.3,Iris-setosa
54,?,2.3,4.0,1.3,Iris-versicolor
58,4.9,2.4,3.3,?,Iris-versicolor
72,6.1,?,?,1.3,Iris-versicolor
75,6.4,2.9,?,1.3,Iris-versicolor
95,5.6,2.7,4.2,?,Iris-versicolor
105,?,3.0,?,2.2,?
107,4.9,2.5,4.5,1.7,?
108,?,?,?,?,Iris-virginica
110,7.2,?,?,2.5,Iris-virginica
116,6.4,3.2,5.3,2.3,Iris-virginica
117,6.5,3.0,5.5,1.8,?
132,7.9,3.8,6.4,2.0,Iris-virginica
