sepallength,sepalwidth,petallength,petalwidth,label
4.6,3.1,1.5,0.2,Iris-setosa
4.4,2.9,1.4,0.2,Iris-setosa
5.0,3.2,1.2,0.2,Iris-setosa
6.9,3.1,4.9,1.5,Iris-versicolor
5.5,2.3,4.0,1.3,Iris-versicolor
6.6,2.9,4.6,1.3,Iris-versicolor
5.7,2.6,3.5,1.0,Iris-versicolor
6.3,2.3,4.4,1.3,Iris-versicolor
5.5,2.6,4.4,1.2,Iris-versicolor
6.1,3.0,4.6,1.4,Iris-versicolor
5.6,2.7,4.2,1.3,Iris-versicolor
5.8,2.7,5.1,1.9,Iris-virginica
7.6,3.0,6.6,2.1,Iris-virginica
6.7,2.5,5.8,1.8,Iris-virginica
6.4,3.2,5.3,2.3,Iris-virginica
