@Relation genericBIFF
@Attribute sepallength real
@Attribute sepalwidth real
@Attribute petallength real
@Attribute petalwidth real
@Attribute label {Iris-versicolor,Iris-virginica,Iris-setosa}

@DATA
5.4,?,1.7,0.4,Iris-setosa
5.4,?,1.3,?,Iris-setosa
5.0,3.4,1.6,0.4,Iris-setosa
4.4,3.0,1.3,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
6.1,2.8,?,1.2,?
7.6,3.0,6.6,2.1,Iris-virginica
6.8,3.0,5.5,2.1,Iris-virginica
5.7,2.5,5.0,2.0,Iris-virginica
5.8,2.8,5.1,2.4,Iris-virginica
7.7,3.8,6.7,2.2,Iris-virginica
6.3,2.7,4.9,1.8,Iris-virginica
?,3.1,?,1.8,Iris-virginica
?,3.1,5.6,?,?
6.8,3.2,5.9,2.3,?
