@Relation genericBIFF
@Attribute sepallength real
@Attribute sepalwidth real
@Attribute petallength real
@Attribute petalwidth real
@Attribute label {Iris-versicolor,Iris-virginica,Iris-setosa}

@DATA
4.7,3.2,1.3,0.2,Iris-setosa
5.4,3.9,1.7,0.4,Iris-setosa
5.8,4.0,1.2,0.2,Iris-setosa
5.1,3.5,1.4,0.3,Iris-setosa
5.0,3.5,1.6,0.6,Iris-setosa
5.0,3.3,1.4,0.2,Iris-setosa
5.0,?,3.5,1.0,Iris-versicolor
6.1,2.9,4.7,?,Iris-versicolor
6.1,2.8,4.0,1.3,Iris-versicolor
6.6,3.0,4.4,1.4,Iris-versicolor
5.8,2.7,3.9,1.2,Iris-versicolor
6.0,3.4,4.5,1.6,Iris-versicolor
6.0,2.2,5.0,1.5,Iris-virginica
6.9,3.2,5.7,2.3,Iris-virginica
5.6,2.8,4.9,2.0,Iris-virginica
