@Relation genericBIFF
@Attribute sepallength real
@Attribute sepalwidth real
@Attribute petallength real
@Attribute petalwidth real
@Attribute label {Iris-versicolor,Iris-virginica,Iris-setosa}

@DATA
5.0,3.6,1.4,0.2,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
4.8,3.0,1.4,0.1,Iris-setosa
5.7,4.4,1.5,0.4,Iris-setosa
5.1,3.3,1.7,0.5,Iris-setosa
5.0,3.0,1.6,0.2,Iris-setosa
6.5,2.8,4.6,1.5,Iris-versicolor
6.3,3.3,4.7,1.6,Iris-versicolor
6.0,2.2,4.0,1.0,Iris-versicolor
5.6,2.9,3.6,1.3,Iris-versicolor
6.7,3.1,4.4,1.4,Iris-versicolor
5.6,3.0,4.5,1.5,Iris-versicolor
6.2,2.2,4.5,1.5,Iris-versicolor
6.6,3.0,4.4,1.4,Iris-versicolor
5.8,2.7,3.9,1.2,Iris-versicolor
